datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy
2022-04-20 12:44,2022-04-20 12:44,985.35,0,39.5,0.7546468401486989
2022-04-20 12:45,2022-04-20 12:45,986.26,0,39.5,0.7592592592592593
2022-04-20 12:46,2022-04-20 12:46,987.07,0,39.5,0.7592592592592593
2022-04-20 12:47,2022-04-20 12:47,986.43,0,39.5,0.7074074074074074
2022-04-20 12:48,2022-04-20 12:48,985.33,0,39.5,0.7481481481481481
2022-04-20 12:49,2022-04-20 12:49,985.82,0,39.5,0.7518518518518519
2022-04-20 12:50,2022-04-20 12:50,986.22,0,39.5,0.7527675276752768
2022-04-20 12:51,2022-04-20 12:51,987.25,0,39.5,0.7564575645756457
2022-04-20 12:52,2022-04-20 12:52,986.83,0,39.5,0.7564575645756457
2022-04-20 12:53,2022-04-20 12:53,987.7,0,39.5,0.7490774907749077
2022-04-20 12:54,2022-04-20 12:54,987.32,0,39.5,0.7527675276752768
2022-04-20 12:55,2022-04-20 12:55,987.15,0,39.5,0.7536764705882353
2022-04-20 12:56,2022-04-20 12:56,989.56,0,39.5,0.75
2022-04-20 12:57,2022-04-20 12:57,987.99,-1,39.5,0.7389705882352942
2022-04-20 12:58,2022-04-20 12:58,987.74,0,39.5,0.7536764705882353
2022-04-20 12:59,2022-04-20 12:59,986.65,0,39.5,0.7463235294117647
2022-04-20 13:00,2022-04-20 13:00,986.85,0,39.5,0.7472527472527473
2022-04-20 13:01,2022-04-20 13:01,985.89,-1,39.5,0.7472527472527473
2022-04-20 13:02,2022-04-20 13:02,987.0,-1,39.5,0.7509157509157509
2022-04-20 13:03,2022-04-20 13:03,986.38,1,39.5,0.7472527472527473
2022-04-20 13:04,2022-04-20 13:04,988.58,1,39.5,0.7472527472527473
2022-04-20 13:05,2022-04-20 13:05,988.35,0,39.5,0.7481751824817519
2022-04-20 13:06,2022-04-20 13:06,986.62,1,39.5,0.7518248175182481
2022-04-20 13:07,2022-04-20 13:07,986.1,-1,39.5,0.7481751824817519
2022-04-20 13:08,2022-04-20 13:08,985.31,0,39.5,0.7518248175182481
2022-04-20 13:09,2022-04-20 13:09,985.15,-1,39.5,0.7481751824817519
2022-04-20 13:10,2022-04-20 13:10,985.0,0,39.5,0.7490909090909091
2022-04-20 13:11,2022-04-20 13:11,985.02,0,39.5,0.7454545454545455
2022-04-20 13:12,2022-04-20 13:12,986.83,1,39.5,0.7381818181818182
2022-04-20 13:13,2022-04-20 13:13,989.5,0,39.5,0.7454545454545455
2022-04-20 13:14,2022-04-20 13:14,989.42,1,39.5,0.7418181818181818
2022-04-20 13:15,2022-04-20 13:15,988.75,-1,39.5,0.7391304347826086
2022-04-20 13:16,2022-04-20 13:16,990.4,0,39.5,0.75
2022-04-20 13:17,2022-04-20 13:17,989.56,-1,39.5,0.7391304347826086
2022-04-20 13:18,2022-04-20 13:18,987.27,-1,39.5,0.7536231884057971
2022-04-20 13:19,2022-04-20 13:19,985.23,1,39.5,0.7463768115942029
2022-04-20 13:20,2022-04-20 13:20,985.64,-1,39.5,0.7364620938628159
2022-04-20 13:21,2022-04-20 13:21,985.69,-1,39.5,0.7509025270758123
2022-04-20 13:22,2022-04-20 13:22,987.0,0,39.5,0.7364620938628159
2022-04-20 13:23,2022-04-20 13:23,987.99,1,39.5,0.7292418772563177
2022-04-20 13:24,2022-04-20 13:24,986.74,0,39.5,0.7328519855595668
2022-04-20 13:25,2022-04-20 13:25,986.57,1,39.5,0.7302158273381295
2022-04-20 13:26,2022-04-20 13:26,985.18,-1,39.5,0.7302158273381295
2022-04-20 13:27,2022-04-20 13:27,985.42,0,39.5,0.7410071942446043
2022-04-20 13:28,2022-04-20 13:28,985.45,0,39.5,0.7482014388489209
2022-04-20 13:29,2022-04-20 13:29,986.03,1,39.5,0.7338129496402878
2022-04-20 13:30,2022-04-20 13:30,986.6,0,39.5,0.7455197132616488
2022-04-20 13:31,2022-04-20 13:31,986.5,0,39.5,0.7383512544802867
2022-04-20 13:32,2022-04-20 13:32,986.32,-1,39.5,0.7275985663082437
